species,lon,lat,source
Cranioleuca pallida,-46.7025,-23.5875,Hasui
Haplospiza unicolor,-46.7025,-23.5875,Hasui
Cranioleuca pallida,-46.7211,-23.632,Hasui
Cranioleuca pallida,-46.427381,-23.507268,Hasui
Cranioleuca pallida,-46.72703,-23.50389,Hasui
Cranioleuca pallida,-46.4643,-23.5735,Hasui
Cranioleuca pallida,-46.753296,-23.615739,Hasui
Cranioleuca pallida,-46.732729,-23.675513,Hasui
Cranioleuca pallida,-46.6589,-23.587,Hasui
Hemitriccus orbitatus,-46.610428,-23.578804,Hasui
Ilicura militaris,-46.610428,-23.578804,Hasui
Philydor atricapillus,-46.616667,-23.6,Hasui
Ilicura militaris,-46.616667,-23.6,Hasui
Cranioleuca pallida,-46.730063,-23.583086,Hasui
Cranioleuca pallida,-46.574127,-23.528304,Hasui
Cranioleuca pallida,-46.7266,-23.5806,Hasui
Haplospiza unicolor,-46.7266,-23.5806,Hasui
Cranioleuca pallida,-46.443695,-23.553049,Hasui
Cranioleuca pallida,-46.7738,-23.6625,Hasui
Cranioleuca pallida,-46.73686,-23.500133,Hasui
Haplospiza unicolor,-46.750192,-23.513899,Hasui
Neopelma chrysolophum,-46.65,-23.416667,Hasui
Philydor atricapillus,-46.65,-23.416667,Hasui
Sclerurus scansor,-46.65,-23.416667,Hasui
Rhopias gularis,-46.65,-23.416667,Hasui
Mionectes rufiventris,-46.65,-23.416667,Hasui
Schiffornis virescens,-46.65,-23.416667,Hasui
Anabacerthia amaurotis,-46.65,-23.416667,Hasui
Anabazenops fuscus,-46.65,-23.416667,Hasui
Cranioleuca pallida,-46.65,-23.416667,Hasui
Hemitriccus orbitatus,-46.65,-23.416667,Hasui
Haplospiza unicolor,-46.65,-23.416667,Hasui
Carpornis cucullata,-46.727299,-23.897598,Hasui
Cranioleuca pallida,-46.727299,-23.897598,Hasui
Hemitriccus orbitatus,-46.727299,-23.897598,Hasui
Schiffornis virescens,-46.727299,-23.897598,Hasui
Sclerurus scansor,-46.727299,-23.897598,Hasui
Cranioleuca pallida,-46.734602,-23.765989,Hasui
Cranioleuca pallida,-46.728779,-23.565456,Hasui
Haplospiza unicolor,-46.728779,-23.565456,Hasui
Cranioleuca pallida,-46.561622,-23.588462,Hasui
Philydor atricapillus,-48,-24.033333,Hasui
Philydor atricapillus,-41.911516,-21.925821,Hasui
Cichlocolaptes leucophrus,-41.911516,-21.925821,Hasui
Hypoedaleus guttatus,-41.911516,-21.925821,Hasui
Terenura maculata,-41.911516,-21.925821,Hasui
Hemitriccus orbitatus,-41.911516,-21.925821,Hasui
Saltator fuliginosus,-41.911516,-21.925821,Hasui
Anabacerthia amaurotis,-45.95,-22.916667,Hasui
Anabazenops fuscus,-45.95,-22.916667,Hasui
Sclerurus scansor,-45.95,-22.916667,Hasui
Mionectes rufiventris,-45.95,-22.916667,Hasui
Neopelma aurifrons,-44.6,-22.716667,Hasui
Anabacerthia lichtensteini,-43,-19.75,Hasui
Sclerurus scansor,-43,-19.75,Hasui
Mionectes rufiventris,-43,-19.75,Hasui
Ilicura militaris,-43,-19.75,Hasui
Schiffornis virescens,-43,-19.75,Hasui
Lipaugus lanioides,-43,-19.75,Hasui
Neopelma aurifrons,-43.05,-19.75,Hasui
Philydor atricapillus,-45.966667,-22.9,Hasui
Drymophila ochropyga,-46.633333,-23.75,Hasui
Philydor atricapillus,-46.416667,-23.8,Hasui
Sclerurus scansor,-46.416667,-23.8,Hasui
Mionectes rufiventris,-46.416667,-23.8,Hasui
Sclerurus scansor,-46.433333,-23.8,Hasui
Schiffornis virescens,-46.433333,-23.8,Hasui
Anabacerthia amaurotis,-46.516667,-23.65,Hasui
Heliobletus contaminatus,-46.516667,-23.65,Hasui
Merulaxis ater,-46.516667,-23.65,Hasui
Myrmotherula unicolor,-46.3,-23.766667,Hasui
Phylloscartes difficilis,-46.3,-23.766667,Hasui
Philydor atricapillus,-46.383333,-23.766667,Hasui
Rhopias gularis,-46.383333,-23.766667,Hasui
Heliobletus contaminatus,-46.383333,-23.766667,Hasui
Schiffornis virescens,-46.383333,-23.766667,Hasui
Carpornis cucullata,-46.383333,-23.766667,Hasui
Philydor atricapillus,-40.6167,-20.1,Hasui
Anabazenops fuscus,-40.6167,-20.1,Hasui
Cichlocolaptes leucophrus,-40.6167,-20.1,Hasui
Anabacerthia lichtensteini,-40.6167,-20.1,Hasui
Sclerurus scansor,-40.6167,-20.1,Hasui
Hypoedaleus guttatus,-40.6167,-20.1,Hasui
Rhopias gularis,-40.6167,-20.1,Hasui
Phylloscartes paulista,-40.6167,-20.1,Hasui
Phylloscartes oustaleti,-40.6167,-20.1,Hasui
Neopelma aurifrons,-40.6167,-20.1,Hasui
